String Art Instructions
======================

Parameters:
- Total Nails: 200
- Shape: circle
- Output Size: 800px
- String Strength: 0.1
- Max Iterations: 2000
- Random Nails: 100
- White Background: False

Quadrant Layout:
- Blue: 12 o'clock (indices 150-199)
  73. Green 1 -> Blue 4
  74. Blue 4 -> Green 21
  75. Green 21 -> Blue 5
  76. Blue 5 -> Red 39
  77. Red 39 -> Blue 3
  78. Blue 3 -> Red 43
  79. Red 43 -> Blue 1
  80. Blue 1 -> Green 2
  81. Green 2 -> Blue 3
  82. Blue 3 -> Red 37
  83. Red 37 -> Blue 2
  84. Blue 2 -> Red 45
  85. Red 45 -> Yellow 46
  86. Yellow 46 -> Red 49
  87. Red 49 -> Yellow 48
  88. Yellow 48 -> Green 7
  89. Green 7 -> Yellow 50
  90. Yellow 50 -> Red 31
  91. Red 31 -> Blue 3
  92. Blue 3 -> Green 18
  93. Green 18 -> Blue 5
  94. Blue 5 -> Green 19
  95. Green 19 -> Blue 11
  96. Blue 11 -> Green 25
  97. Green 25 -> Blue 8
  98. Blue 8 -> Red 45
  99. Red 45 -> Blue 1
 100. Blue 1 -> Red 35
 101. Red 35 -> Yellow 17
 102. Yellow 17 -> Red 2
 103. Red 2 -> Yellow 2
 104. Yellow 2 -> Red 4
 105. Red 4 -> Yellow 5
 106. Yellow 5 -> Blue 45
 107. Blue 45 -> Yellow 10
 108. Yellow 10 -> Red 1
 109. Red 1 -> Green 48
 110. Green 48 -> Blue 36
 111. Blue 36 -> Green 31
 112. Green 31 -> Blue 14
 113. Blue 14 -> Green 28
 114. Green 28 -> Blue 10
 115. Blue 10 -> Green 20
 116. Green 20 -> Blue 2
 117. Blue 2 -> Green 3
 118. Green 3 -> Yellow 45
 119. Yellow 45 -> Red 27
 120. Red 27 -> Yellow 47
 121. Yellow 47 -> Red 48
 122. Red 48 -> Yellow 49
 123. Yellow 49 -> Red 44
 124. Red 44 -> Blue 9
 125. Blue 9 -> Green 21
 126. Green 21 -> Blue 2
 127. Blue 2 -> Red 41
 128. Red 41 -> Yellow 46
 129. Yellow 46 -> Green 3
 130. Green 3 -> Blue 4
 131. Blue 4 -> Red 35
 132. Red 35 -> Yellow 44
 133. Yellow 44 -> Red 28
 134. Red 28 -> Yellow 24
 135. Yellow 24 -> Red 31
 136. Red 31 -> Yellow 21
 137. Yellow 21 -> Red 31
 138. Red 31 -> Yellow 48
 139. Yellow 48 -> Red 46
 140. Red 46 -> Blue 7
 141. Blue 7 -> Red 41
 142. Red 41 -> Blue 1
 143. Blue 1 -> Red 27
 144. Red 27 -> Yellow 25
 145. Yellow 25 -> Red 33
 146. Red 33 -> Yellow 47
 147. Yellow 47 -> Green 2
 148. Green 2 -> Yellow 48
 149. Yellow 48 -> Red 48
 150. Red 48 -> Blue 10
 151. Blue 10 -> Green 25
 152. Green 25 -> Blue 13
 153. Blue 13 -> Green 29
 154. Green 29 -> Blue 23
 155. Blue 23 -> Green 29
 156. Green 29 -> Blue 15
 157. Blue 15 -> Green 28
 158. Green 28 -> Blue 11
 159. Blue 11 -> Red 46
 160. Red 46 -> Blue 5
 161. Blue 5 -> Red 32
 162. Red 32 -> Yellow 44
 163. Yellow 44 -> Red 25
 164. Red 25 -> Yellow 46
 165. Yellow 46 -> Green 7
 166. Green 7 -> Blue 7
 167. Blue 7 -> Red 38
 168. Red 38 -> Blue 6
 169. Blue 6 -> Green 27
 170. Green 27 -> Blue 25
 171. Blue 25 -> Green 29
 172. Green 29 -> Blue 7
 173. Blue 7 -> Red 43
 174. Red 43 -> Blue 10
 175. Blue 10 -> Red 47
 176. Red 47 -> Yellow 50
 177. Yellow 50 -> Red 28
 178. Red 28 -> Yellow 43
 179. Yellow 43 -> Red 49
 180. Red 49 -> Yellow 47
 181. Yellow 47 -> Green 6
 182. Green 6 -> Yellow 48
 183. Yellow 48 -> Red 24
 184. Red 24 -> Yellow 47
 185. Yellow 47 -> Red 37
 186. Red 37 -> Yellow 50
 187. Yellow 50 -> Red 43
 188. Red 43 -> Yellow 45
 189. Yellow 45 -> Green 1
 190. Green 1 -> Blue 11
 191. Blue 11 -> Green 23
 192. Green 23 -> Blue 3
 193. Blue 3 -> Red 36
 194. Red 36 -> Yellow 16
 195. Yellow 16 -> Red 5
 196. Red 5 -> Yellow 4
 197. Yellow 4 -> Blue 39
 198. Blue 39 -> Yellow 1
 199. Yellow 1 -> Red 3
 200. Red 3 -> Yellow 12
 201. Yellow 12 -> Blue 48
 202. Blue 48 -> Yellow 14
 203. Yellow 14 -> Red 38
 204. Red 38 -> Yellow 49
 205. Yellow 49 -> Green 5
 206. Green 5 -> Yellow 45
 207. Yellow 45 -> Red 50
 208. Red 50 -> Blue 4
 209. Blue 4 -> Green 22
 210. Green 22 -> Blue 30
 211. Blue 30 -> Green 25
 212. Green 25 -> Blue 27
 213. Blue 27 -> Green 20
 214. Green 20 -> Blue 13
 215. Blue 13 -> Green 39
 216. Green 39 -> Blue 17
 217. Blue 17 -> Green 27
 218. Green 27 -> Blue 8
 219. Blue 8 -> Red 32
 220. Red 32 -> Yellow 20
 221. Yellow 20 -> Red 35
 222. Red 35 -> Blue 3
 223. Blue 3 -> Red 47
 224. Red 47 -> Yellow 46
 225. Yellow 46 -> Red 40
 226. Red 40 -> Blue 8
 227. Blue 8 -> Red 30
 228. Red 30 -> Yellow 22
 229. Yellow 22 -> Red 29
 230. Red 29 -> Blue 5
 231. Blue 5 -> Red 34
 232. Red 34 -> Yellow 18
 233. Yellow 18 -> Blue 50
 234. Blue 50 -> Yellow 10
 235. Yellow 10 -> Red 9
 236. Red 9 -> Yellow 8
 237. Yellow 8 -> Blue 42
 238. Blue 42 -> Yellow 5
 239. Yellow 5 -> Blue 48
 240. Blue 48 -> Green 46
 241. Green 46 -> Blue 49
 242. Blue 49 -> Yellow 11
 243. Yellow 11 -> Blue 44
 244. Blue 44 -> Green 41
 245. Green 41 -> Blue 17
 246. Blue 17 -> Green 35
 247. Green 35 -> Blue 49
 248. Blue 49 -> Green 31
 249. Green 31 -> Red 1
 250. Red 1 -> Yellow 3
 251. Yellow 3 -> Blue 43
 252. Blue 43 -> Yellow 14
 253. Yellow 14 -> Blue 45
 254. Blue 45 -> Yellow 4
 255. Yellow 4 -> Red 7
 256. Red 7 -> Yellow 17
 257. Yellow 17 -> Red 33
 258. Red 33 -> Yellow 19
 259. Yellow 19 -> Red 5
 260. Red 5 -> Yellow 6
 261. Yellow 6 -> Blue 38
 262. Blue 38 -> Yellow 1
 263. Yellow 1 -> Red 4
 264. Red 4 -> Yellow 11
 265. Yellow 11 -> Red 29
 266. Red 29 -> Yellow 50
 267. Yellow 50 -> Green 19
 268. Green 19 -> Blue 12
 269. Blue 12 -> Green 23
 270. Green 23 -> Blue 29
 271. Blue 29 -> Green 31
 272. Green 31 -> Blue 21
 273. Blue 21 -> Green 3
 274. Green 3 -> Yellow 43
 275. Yellow 43 -> Red 23
 276. Red 23 -> Yellow 45
 277. Yellow 45 -> Red 48
 278. Red 48 -> Blue 6
 279. Blue 6 -> Red 43
 280. Red 43 -> Blue 12
 281. Blue 12 -> Green 22
 282. Green 22 -> Yellow 49
 283. Yellow 49 -> Green 20
 284. Green 20 -> Blue 4
 285. Blue 4 -> Red 33
 286. Red 33 -> Blue 9
 287. Blue 9 -> Red 29
 288. Red 29 -> Yellow 47
 289. Yellow 47 -> Green 7
 290. Green 7 -> Blue 5
 291. Blue 5 -> Green 27
 292. Green 27 -> Blue 10
 293. Blue 10 -> Red 34
 294. Red 34 -> Yellow 50
 295. Yellow 50 -> Red 49
 296. Red 49 -> Blue 5
 297. Blue 5 -> Red 27
 298. Red 27 -> Blue 3
 299. Blue 3 -> Green 4
 300. Green 4 -> Yellow 45
 301. Yellow 45 -> Red 42
 302. Red 42 -> Blue 2
 303. Blue 2 -> Red 28
 304. Red 28 -> Blue 7
 305. Blue 7 -> Red 33
 306. Red 33 -> Yellow 43
 307. Yellow 43 -> Green 4
 308. Green 4 -> Yellow 46
 309. Yellow 46 -> Green 8
 310. Green 8 -> Yellow 49
 311. Yellow 49 -> Red 42
 312. Red 42 -> Blue 11
 313. Blue 11 -> Red 45
 314. Red 45 -> Yellow 48
 315. Yellow 48 -> Green 1
 316. Green 1 -> Yellow 43
 317. Yellow 43 -> Red 29
 318. Red 29 -> Yellow 23
 319. Yellow 23 -> Red 29
 320. Red 29 -> Blue 1
 321. Blue 1 -> Green 18
 322. Green 18 -> Blue 6
 323. Blue 6 -> Red 44
 324. Red 44 -> Yellow 48
 325. Yellow 48 -> Green 19
 326. Green 19 -> Yellow 46
 327. Yellow 46 -> Red 37
 328. Red 37 -> Yellow 15
 329. Yellow 15 -> Blue 46
 330. Blue 46 -> Green 32
 331. Green 32 -> Blue 20
 332. Blue 20 -> Green 1
 333. Green 1 -> Blue 3
 334. Blue 3 -> Red 38
 335. Red 38 -> Blue 4
 336. Blue 4 -> Green 24
 337. Green 24 -> Blue 14
 338. Blue 14 -> Red 46
 339. Red 46 -> Yellow 37
 340. Yellow 37 -> Red 48
 341. Red 48 -> Yellow 44
 342. Yellow 44 -> Red 50
 343. Red 50 -> Blue 14
 344. Blue 14 -> Green 38
 345. Green 38 -> Red 1
 346. Red 1 -> Yellow 7
 347. Yellow 7 -> Blue 41
 348. Blue 41 -> Green 50
 349. Green 50 -> Blue 36
 350. Blue 36 -> Green 47
 351. Green 47 -> Blue 48
 352. Blue 48 -> Green 32
 353. Green 32 -> Blue 50
 354. Blue 50 -> Green 29
 355. Green 29 -> Blue 8
 356. Blue 8 -> Red 37
 357. Red 37 -> Blue 6
 358. Blue 6 -> Red 26
 359. Red 26 -> Yellow 50
 360. Yellow 50 -> Red 40
 361. Red 40 -> Blue 3
 362. Blue 3 -> Red 25
 363. Red 25 -> Yellow 41
 364. Yellow 41 -> Red 11
 365. Red 11 -> Yellow 9
 366. Yellow 9 -> Blue 46
 367. Blue 46 -> Yellow 13
 368. Yellow 13 -> Red 31
 369. Red 31 -> Blue 11
 370. Blue 11 -> Green 17
 371. Green 17 -> Blue 9
 372. Blue 9 -> Green 26
 373. Green 26 -> Blue 2
 374. Blue 2 -> Red 47
 375. Red 47 -> Yellow 34
 376. Yellow 34 -> Red 41
 377. Red 41 -> Yellow 11
 378. Yellow 11 -> Red 32
 379. Red 32 -> Blue 7
 380. Blue 7 -> Red 47
 381. Red 47 -> Yellow 47
 382. Yellow 47 -> Green 22
 383. Green 22 -> Blue 1
 384. Blue 1 -> Red 30
 385. Red 30 -> Blue 9
 386. Blue 9 -> Red 35
 387. Red 35 -> Yellow 29
 388. Yellow 29 -> Red 38
 389. Red 38 -> Yellow 50
 390. Yellow 50 -> Green 23
 391. Green 23 -> Yellow 48
 392. Yellow 48 -> Green 18
 393. Green 18 -> Blue 4
 394. Blue 4 -> Red 34
 395. Red 34 -> Blue 11
 396. Blue 11 -> Red 29
 397. Red 29 -> Blue 10
 398. Blue 10 -> Green 29
 399. Green 29 -> Blue 33
 400. Blue 33 -> Green 33
 401. Green 33 -> Blue 47
 402. Blue 47 -> Green 44
 403. Green 44 -> Blue 46
 404. Blue 46 -> Yellow 14
 405. Yellow 14 -> Red 29
 406. Red 29 -> Yellow 48
 407. Yellow 48 -> Red 22
 408. Red 22 -> Yellow 30
 409. Yellow 30 -> Red 34
 410. Red 34 -> Blue 7
 411. Blue 7 -> Green 5
 412. Green 5 -> Yellow 42
 413. Yellow 42 -> Green 2
 414. Green 2 -> Yellow 46
 415. Yellow 46 -> Red 50
 416. Red 50 -> Yellow 49
 417. Yellow 49 -> Red 41
 418. Red 41 -> Blue 12
 419. Blue 12 -> Green 40
 420. Green 40 -> Red 2
 421. Red 2 -> Green 30
 422. Green 30 -> Blue 50
 423. Blue 50 -> Yellow 11
 424. Yellow 11 -> Blue 42
 425. Blue 42 -> Green 42
 426. Green 42 -> Blue 16
 427. Blue 16 -> Red 50
 428. Red 50 -> Blue 10
 429. Blue 10 -> Red 27
 430. Red 27 -> Blue 8
 431. Blue 8 -> Green 19
 432. Green 19 -> Blue 2
 433. Blue 2 -> Green 18
 434. Green 18 -> Yellow 49
 435. Yellow 49 -> Green 26
 436. Green 26 -> Blue 26
 437. Blue 26 -> Green 20
 438. Green 20 -> Blue 32
 439. Blue 32 -> Green 34
 440. Green 34 -> Red 3
 441. Red 3 -> Yellow 3
 442. Yellow 3 -> Red 25
 443. Red 25 -> Yellow 43
 444. Yellow 43 -> Green 6
 445. Green 6 -> Blue 46
 446. Blue 46 -> Yellow 16
 447. Yellow 16 -> Red 36
 448. Red 36 -> Blue 2
 449. Blue 2 -> Red 44
 450. Red 44 -> Yellow 37
 451. Yellow 37 -> Red 15
 452. Red 15 -> Yellow 14
 453. Yellow 14 -> Blue 49
 454. Blue 49 -> Green 36
 455. Green 36 -> Blue 15
 456. Blue 15 -> Green 37
 457. Green 37 -> Blue 39
 458. Blue 39 -> Green 48
 459. Green 48 -> Blue 48
 460. Blue 48 -> Green 4
 461. Green 4 -> Blue 1
 462. Blue 1 -> Red 49
 463. Red 49 -> Blue 4
 464. Blue 4 -> Red 30
 465. Red 30 -> Yellow 8
 466. Yellow 8 -> Red 1
 467. Red 1 -> Yellow 17
 468. Yellow 17 -> Red 34
 469. Red 34 -> Blue 6
 470. Blue 6 -> Red 40
 471. Red 40 -> Yellow 31
 472. Yellow 31 -> Red 21
 473. Red 21 -> Yellow 41
 474. Yellow 41 -> Green 6
 475. Green 6 -> Yellow 44
 476. Yellow 44 -> Green 4
 477. Green 4 -> Yellow 50
 478. Yellow 50 -> Green 21
 479. Green 21 -> Blue 31
 480. Blue 31 -> Green 27
 481. Green 27 -> Yellow 49
 482. Yellow 49 -> Red 32
 483. Red 32 -> Blue 10
 484. Blue 10 -> Green 42
 485. Green 42 -> Red 4
 486. Red 4 -> Green 50
 487. Green 50 -> Blue 40
 488. Blue 40 -> Yellow 10
 489. Yellow 10 -> Red 33
 490. Red 33 -> Blue 12
 491. Blue 12 -> Red 30
 492. Red 30 -> Blue 7
 493. Blue 7 -> Green 24
 494. Green 24 -> Blue 28
 495. Blue 28 -> Green 24
 496. Green 24 -> Blue 43
 497. Blue 43 -> Green 9
 498. Green 9 -> Blue 24
 499. Blue 24 -> Green 27
 500. Green 27 -> Blue 1
 501. Blue 1 -> Red 37
 502. Red 37 -> Yellow 30
 503. Yellow 30 -> Red 44
 504. Red 44 -> Blue 11
 505. Blue 11 -> Red 27
 506. Red 27 -> Yellow 5
 507. Yellow 5 -> Red 2
 508. Red 2 -> Yellow 15
 509. Yellow 15 -> Blue 45
 510. Blue 45 -> Green 7
 511. Green 7 -> Blue 1
 512. Blue 1 -> Red 47
 513. Red 47 -> Blue 6
 514. Blue 6 -> Green 22
 515. Green 22 -> Yellow 48
 516. Yellow 48 -> Green 26
 517. Green 26 -> Blue 45
 518. Blue 45 -> Green 45
 519. Green 45 -> Blue 34
 520. Blue 34 -> Yellow 1
 521. Yellow 1 -> Red 25
 522. Red 25 -> Blue 4
 523. Blue 4 -> Red 44
 524. Red 44 -> Blue 14
 525. Blue 14 -> Green 2
 526. Green 2 -> Blue 50
 527. Blue 50 -> Yellow 9
 528. Yellow 9 -> Blue 40
 529. Blue 40 -> Green 3
 530. Green 3 -> Blue 49
 531. Blue 49 -> Green 32
 532. Green 32 -> Blue 7
 533. Blue 7 -> Red 36
 534. Red 36 -> Blue 11
 535. Blue 11 -> Green 41
 536. Green 41 -> Blue 43
 537. Blue 43 -> Yellow 7
 538. Yellow 7 -> Red 9
 539. Red 9 -> Yellow 43
 540. Yellow 43 -> Green 7
 541. Green 7 -> Blue 10
 542. Blue 10 -> Red 25
 543. Red 25 -> Yellow 6
 544. Yellow 6 -> Blue 39
 545. Blue 39 -> Green 4
 546. Green 4 -> Yellow 42
 547. Yellow 42 -> Red 20
 548. Red 20 -> Yellow 32
 549. Yellow 32 -> Red 42
 550. Red 42 -> Blue 5
 551. Blue 5 -> Green 17
 552. Green 17 -> Yellow 50
 553. Yellow 50 -> Green 11
 554. Green 11 -> Yellow 48
 555. Yellow 48 -> Green 21
 556. Green 21 -> Blue 12
 557. Blue 12 -> Red 28
 558. Red 28 -> Blue 9
 559. Blue 9 -> Red 45
 560. Red 45 -> Yellow 45
 561. Yellow 45 -> Red 39
 562. Red 39 -> Yellow 13
 563. Yellow 13 -> Red 35
 564. Red 35 -> Blue 8
 565. Blue 8 -> Green 28
 566. Green 28 -> Red 1
 567. Red 1 -> Blue 1
 568. Blue 1 -> Green 20
 569. Green 20 -> Yellow 46
 570. Yellow 46 -> Red 30
 571. Red 30 -> Yellow 27
 572. Yellow 27 -> Red 36
 573. Red 36 -> Blue 5
 574. Blue 5 -> Green 1
 575. Green 1 -> Red 1
 576. Red 1 -> Green 30
 577. Green 30 -> Blue 1
 578. Blue 1 -> Red 26
 579. Red 26 -> Yellow 5
 580. Yellow 5 -> Red 6
 581. Red 6 -> Yellow 3
 582. Yellow 3 -> Blue 37
 583. Blue 37 -> Yellow 7
 584. Yellow 7 -> Red 45
 585. Red 45 -> Yellow 29
 586. Yellow 29 -> Red 32
 587. Red 32 -> Blue 13
 588. Blue 13 -> Green 21
 589. Green 21 -> Blue 42
 590. Blue 42 -> Red 49
 591. Red 49 -> Yellow 34
 592. Yellow 34 -> Red 39
 593. Red 39 -> Yellow 47
 594. Yellow 47 -> Green 23
 595. Green 23 -> Blue 41
 596. Blue 41 -> Green 11
 597. Green 11 -> Blue 2
 598. Blue 2 -> Blue 50
 599. Blue 50 -> Green 31
 600. Green 31 -> Yellow 50
 601. Yellow 50 -> Green 1
 602. Green 1 -> Yellow 36
 603. Yellow 36 -> Red 16
 604. Red 16 -> Green 45
 605. Green 45 -> Blue 37
 606. Blue 37 -> Red 49
 607. Red 49 -> Blue 9
 608. Blue 9 -> Green 16
 609. Green 16 -> Blue 7
 610. Blue 7 -> Red 24
 611. Red 24 -> Blue 1
 612. Blue 1 -> Red 28
 613. Red 28 -> Yellow 13
 614. Yellow 13 -> Blue 48
 615. Blue 48 -> Green 35
 616. Green 35 -> Red 5
 617. Red 5 -> Green 34
 618. Green 34 -> Blue 18
 619. Blue 18 -> Green 41
 620. Green 41 -> Red 31
 621. Red 31 -> Yellow 12
 622. Yellow 12 -> Red 40
 623. Red 40 -> Yellow 43
 624. Yellow 43 -> Red 46
 625. Red 46 -> Blue 10
 626. Blue 10 -> Red 31
 627. Red 31 -> Blue 6
 628. Blue 6 -> Green 36
 629. Green 36 -> Blue 45
 630. Blue 45 -> Yellow 16
 631. Yellow 16 -> Blue 48
 632. Blue 48 -> Yellow 18
 633. Yellow 18 -> Red 36
 634. Red 36 -> Blue 1
 635. Blue 1 -> Green 26
 636. Green 26 -> Yellow 47
 637. Yellow 47 -> Green 19
 638. Green 19 -> Blue 33
 639. Blue 33 -> Green 41
 640. Green 41 -> Red 10
 641. Red 10 -> Yellow 42
 642. Yellow 42 -> Green 1
 643. Green 1 -> Yellow 44
 644. Yellow 44 -> Red 22
 645. Red 22 -> Blue 3
 646. Blue 3 -> Red 33
 647. Red 33 -> Blue 8
 648. Blue 8 -> Green 8
 649. Green 8 -> Blue 44
 650. Blue 44 -> Yellow 16
 651. Yellow 16 -> Red 8
 652. Red 8 -> Green 39
 653. Green 39 -> Blue 41
 654. Blue 41 -> Green 2
 655. Green 2 -> Yellow 40
 656. Yellow 40 -> Red 23
 657. Red 23 -> Blue 5
 658. Blue 5 -> Green 38
 659. Green 38 -> Red 32
 660. Red 32 -> Blue 9
 661. Blue 9 -> Green 43
 662. Green 43 -> Blue 18
 663. Blue 18 -> Green 38
 664. Green 38 -> Red 28
 665. Red 28 -> Yellow 8
 666. Yellow 8 -> Red 44
 667. Red 44 -> Yellow 47
 668. Yellow 47 -> Red 34
 669. Red 34 -> Blue 1
 670. Blue 1 -> Green 19
 671. Green 19 -> Blue 40
 672. Blue 40 -> Red 49
 673. Red 49 -> Blue 20
 674. Blue 20 -> Green 46
 675. Green 46 -> Red 7
 676. Red 7 -> Yellow 9
 677. Yellow 9 -> Red 43
 678. Red 43 -> Yellow 49
 679. Yellow 49 -> Red 36
 680. Red 36 -> Yellow 19
 681. Yellow 19 -> Red 2
 682. Red 2 -> Red 50
 683. Red 50 -> Blue 36
 684. Blue 36 -> Yellow 9
 685. Yellow 9 -> Blue 38
 686. Blue 38 -> Green 14
 687. Green 14 -> Blue 3
 688. Blue 3 -> Green 25
 689. Green 25 -> Yellow 47
 690. Yellow 47 -> Green 1
 691. Green 1 -> Blue 35
 692. Blue 35 -> Green 49
 693. Green 49 -> Blue 42
 694. Blue 42 -> Green 10
 695. Green 10 -> Yellow 45
 696. Yellow 45 -> Green 2
 697. Green 2 -> Yellow 39
 698. Yellow 39 -> Red 13
 699. Red 13 -> Yellow 12
 700. Yellow 12 -> Blue 47
 701. Blue 47 -> Green 5
 702. Green 5 -> Blue 39
 703. Blue 39 -> Red 38
 704. Red 38 -> Yellow 48
 705. Yellow 48 -> Red 4
 706. Red 4 -> Green 33
 707. Green 33 -> Blue 45
 708. Blue 45 -> Green 40
 709. Green 40 -> Red 32
 710. Red 32 -> Yellow 8
 711. Yellow 8 -> Blue 41
 712. Blue 41 -> Yellow 5
 713. Yellow 5 -> Red 29
 714. Red 29 -> Blue 12
 715. Blue 12 -> Green 39
 716. Green 39 -> Red 3
 717. Red 3 -> Red 49
 718. Red 49 -> Yellow 36
 719. Yellow 36 -> Red 41
 720. Red 41 -> Blue 6
 721. Blue 6 -> Red 25
 722. Red 25 -> Yellow 8
 723. Yellow 8 -> Red 10
 724. Red 10 -> Green 38
 725. Green 38 -> Red 33
 726. Red 33 -> Blue 6
 727. Blue 6 -> Green 17
 728. Green 17 -> Yellow 39
 729. Yellow 39 -> Red 21
 730. Red 21 -> Yellow 48
 731. Yellow 48 -> Green 28
 732. Green 28 -> Blue 24
 733. Blue 24 -> Green 8
 734. Green 8 -> Blue 4
 735. Blue 4 -> Red 37
 736. Red 37 -> Yellow 16
 737. Yellow 16 -> Red 3
 738. Red 3 -> Yellow 14
 739. Yellow 14 -> Blue 42
 740. Blue 42 -> Green 1
 741. Green 1 -> Blue 1
 742. Blue 1 -> Green 35
 743. Green 35 -> Blue 3
 744. Blue 3 -> Red 46
 745. Red 46 -> Blue 15
 746. Blue 15 -> Green 19
 747. Green 19 -> Blue 3
 748. Blue 3 -> Green 24
 749. Green 24 -> Blue 31
 750. Blue 31 -> Green 35
 751. Green 35 -> Red 25
 752. Red 25 -> Blue 11
 753. Blue 11 -> Red 30
 754. Red 30 -> Green 44
 755. Green 44 -> Blue 16
 756. Blue 16 -> Green 40
 757. Green 40 -> Blue 11
 758. Blue 11 -> Red 26
 759. Red 26 -> Yellow 26
 760. Yellow 26 -> Red 31
 761. Red 31 -> Green 43
 762. Green 43 -> Blue 35
 763. Blue 35 -> Green 32
 764. Green 32 -> Red 24
 765. Red 24 -> Yellow 2
 766. Yellow 2 -> Red 50
 767. Red 50 -> Blue 39
 768. Blue 39 -> Red 41
 769. Red 41 -> Blue 42
 770. Blue 42 -> Red 38
 771. Red 38 -> Yellow 21
 772. Yellow 21 -> Blue 50
 773. Blue 50 -> Green 47
 774. Green 47 -> Blue 37
 775. Blue 37 -> Red 48
 776. Red 48 -> Yellow 4
 777. Yellow 4 -> Blue 47
 778. Blue 47 -> Blue 5
 779. Blue 5 -> Green 47
 780. Green 47 -> Red 18
 781. Red 18 -> Blue 7
 782. Blue 7 -> Red 29
 783. Red 29 -> Green 36
 784. Green 36 -> Blue 16
 785. Blue 16 -> Green 28
 786. Green 28 -> Blue 5
 787. Blue 5 -> Red 35
 788. Red 35 -> Green 37
 789. Green 37 -> Red 34
 790. Red 34 -> Blue 2
 791. Blue 2 -> Green 34
 792. Green 34 -> Blue 30
 793. Blue 30 -> Green 26
 794. Green 26 -> Blue 18
 795. Blue 18 -> Green 9
 796. Green 9 -> Blue 23
 797. Blue 23 -> Green 3
 798. Green 3 -> Yellow 38
 799. Yellow 38 -> Red 12
 800. Red 12 -> Green 42
 801. Green 42 -> Red 28
 802. Red 28 -> Blue 10
 803. Blue 10 -> Red 23
 804. Red 23 -> Blue 8
 805. Blue 8 -> Green 44
 806. Green 44 -> Red 5
 807. Red 5 -> Yellow 47
 808. Yellow 47 -> Blue 47
 809. Blue 47 -> Green 25
 810. Green 25 -> Yellow 48
 811. Yellow 48 -> Green 8
 812. Green 8 -> Blue 26
 813. Blue 26 -> Red 36
 814. Red 36 -> Yellow 31
 815. Yellow 31 -> Red 43
 816. Red 43 -> Blue 41
 817. Blue 41 -> Red 48
 818. Red 48 -> Red 4
 819. Red 4 -> Yellow 7
 820. Yellow 7 -> Red 31
 821. Red 31 -> Green 39
 822. Green 39 -> Blue 4
 823. Blue 4 -> Green 48
 824. Green 48 -> Blue 35
 825. Blue 35 -> Yellow 2
 826. Yellow 2 -> Red 37
 827. Red 37 -> Blue 43
 828. Blue 43 -> Yellow 41
 829. Yellow 41 -> Green 7
 830. Green 7 -> Blue 9
 831. Blue 9 -> Red 24
